"tree_type","pair_type","excluded_status","pairwise_distance"
"within-host","different_household",NA,0.004263
"within-host","different_household",NA,0.002274
"within-host","different_household",NA,0.002234
"within-host","different_household",NA,0.002626
"within-host","different_household",NA,0.001951
"within-host","different_household",NA,0.001797
"within-host","different_household",NA,0.001599
"within-host","different_household",NA,0.001689
"within-host","different_household",NA,0.00162
"within-host","different_household",NA,0.001556
"within-host","different_household",NA,0.002009
"within-host","different_household",NA,0.001785
"within-host","different_household",NA,0.001709
"within-host","different_household",NA,0.001981
"within-host","different_household",NA,0.003121
"within-host","different_household",NA,0.001861
"within-host","different_household",NA,0.00194
"within-host","different_household",NA,0.00162
"within-host","different_household",NA,0.002197
"within-host","different_household",NA,0.001819
"within-host","different_household",NA,0.001824
"within-host","different_household",NA,0.001672
"within-host","different_household",NA,0.001662
"within-host","different_household",NA,0.001769
"within-host","different_household",NA,0.00174
"within-host","different_household",NA,0.001716
"within-host","different_household",NA,0.001952
"within-host","different_household",NA,0.001668
"within-host","different_household",NA,0.001702
"within-host","different_household",NA,0.001704
"within-host","different_household",NA,0.00195
"within-host","different_household",NA,0.001797
"within-host","different_household",NA,0.002396
"within-host","different_household",NA,0.002208
"within-host","different_household",NA,0.002322
"within-host","different_household",NA,0.002445
"within-host","different_household",NA,0.002782
"within-host","different_household",NA,0.001947
"within-host","different_household",NA,0.002022
"within-host","different_household",NA,0.002158
"within-host","different_household",NA,0.002153
"within-host","different_household",NA,0.002062
"within-host","different_household",NA,0.00231
"within-host","different_household",NA,0.001819
"within-host","different_household",NA,0.002216
"within-host","different_household",NA,0.001889
"within-host","different_household",NA,0.001895
"within-host","different_household",NA,0.001941
"within-host","same_household","included_transmission",0.000777
"within-host","same_household","included_transmission",0.000451
"within-host","different_household",NA,0.001618
"within-host","different_household",NA,0.001177
"within-host","same_household","included_transmission",0.001913
"within-host","same_household","included_transmission",0.002578
"within-host","different_household",NA,0.002277
"within-host","different_household",NA,0.002274
"within-host","different_household",NA,0.002407
"within-host","different_household",NA,0.002429
"within-host","same_household","included_transmission",0.002248
"within-host","different_household",NA,0.00262
"within-host","different_household",NA,0.002311
"within-host","different_household",NA,0.002124
"within-host","different_household",NA,0.00207
"within-host","different_household",NA,0.002335
"within-host","different_household",NA,0.002309
"within-host","different_household",NA,0.00274
"within-host","same_household","included_transmission",0.002884
"within-host","same_household","included_transmission",0.00255
"within-host","different_household",NA,0.003524
"within-host","different_household",NA,0.002694
"within-host","same_household","included_transmission",0.002248
"within-host","different_household",NA,0.002542
"within-host","different_household",NA,0.002355
"within-host","different_household",NA,0.002038
"within-host","different_household",NA,0.002223
"within-host","different_household",NA,0.002046
"within-host","different_household",NA,0.001834
"within-host","same_household","included_transmission",0.002013
"within-host","same_household","included_transmission",0.001663
"within-host","same_household","included_transmission",0.001846
"within-host","different_household",NA,0.001846
"within-host","different_household",NA,0.001883
"within-host","same_household","included_transmission",0.001461
"within-host","different_household",NA,0.001591
"within-host","different_household",NA,0.001352
"within-host","same_household","included_transmission",0.001305
"within-host","different_household",NA,0.001746
"within-host","different_household",NA,0.001805
"within-host","same_household","included_transmission",0.001533
"within-host","same_household","included_transmission",0.001394
"within-host","different_household",NA,0.002109
"within-host","different_household",NA,0.001916
"within-host","same_household","included_transmission",0.00198
"within-host","same_household","included_transmission",0.002286
"within-host","same_household","included_transmission",0.002412
"within-host","same_household","included_transmission",0.002776
"within-host","same_household","included_transmission",0.002418
"within-host","same_household","included_transmission",0.002646
"within-host","same_household","included_transmission",0.005541
"within-host","same_household","included_transmission",0.01033
"within-host","same_household","included_transmission",0.005582
"within-host","different_household",NA,0.005657
"within-host","different_household",NA,0.005178
"within-host","same_household","included_transmission",0.00584
"within-host","same_household","included_transmission",0.005673
"within-host","same_household","included_transmission",0.005547
"within-host","same_household","included_transmission",0.005894
"within-host","different_household",NA,0.005964
"within-host","different_household",NA,0.005926
"within-host","different_household",NA,0.005871
"within-host","different_household",NA,0.005411
"within-host","different_household",NA,0.00546
"within-host","different_household",NA,0.007187
"within-host","different_household",NA,0.005977
"within-host","same_household","included_transmission",0.005422
"within-host","same_household","included_transmission",0.005613
"within-host","different_household",NA,0.005884
"within-host","different_household",NA,0.005739
"within-host","different_household",NA,0.005491
"within-host","different_household",NA,0.005832
"within-host","same_household","included_transmission",0.006081
"within-host","same_household","included_transmission",0.005383
